PID;Lot Frontage;Lot Area;Street;Alley;Lot Shape;Land Contour;Utilities;Lot Config;Land Slope;Neighborhood;Condition 1;Condition 2;Bldg Type;House Style;Overall Qual;Overall Cond;Year Built;Year Remod/Add
906380050;68;10769;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;2Story;8;5;2007;
906380060;77;11422;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;1Story;8;5;2007;2008
906380100;122;11923;Pave;NA;Slightly irregular;Lvl;AllPub;Corner;Gtl;College Creek;Norm;Normal;1Fam;1Story;9;5;2007;
906380130;68;8814;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;1Story;7;5;2006;
906380210;64;6762;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;1Story;7;5;2007;
906380220;95;10324;Pave;NA;Slightly irregular;Lvl;AllPub;Corner;Gtl;College Creek;Norm;Normal;1Fam;1Story;8;5;2008;
906392070;64;7314;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;1Story;7;5;2007;
906392110;78;11645;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;1Story;8;5;2005;2006
906392130;79;11646;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;2Story;6;5;2005;2006
906402060;;12800;Pave;NA;Regular;Low;AllPub;Inside;Mod;Sawyer West;Norm;Normal;1Fam;SLvl;7;5;1989;
906426210;;16698;Pave;NA;Slightly irregular;HLS;AllPub;CulDSac;Mod;Clear Creek;Norm;Normal;1Fam;2Story;7;5;1992;1993
906475070;;28698;Pave;NA;Moderately Irregular;Low;AllPub;CulDSac;Sev;Clear Creek;Norm;Normal;1Fam;2Story;5;5;1967;
907126010;82;12464;Pave;NA;Moderately Irregular;Low;AllPub;Corner;Mod;College Creek;Norm;Normal;1Fam;1Story;5;5;1996;
907126050;65;9757;Pave;NA;Regular;Low;AllPub;Inside;Mod;College Creek;Norm;Normal;1Fam;1Story;5;7;1994;
907130100;65;15426;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;2Story;6;5;1997;
907131090;43;10667;Pave;NA;Moderately Irregular;Lvl;AllPub;CulDSac;Gtl;College Creek;PosN;Normal;1Fam;2Story;7;6;1996;
907131190;65;14753;Pave;NA;Moderately Irregular;Low;AllPub;Inside;Gtl;College Creek;PosN;Normal;1Fam;1Story;7;5;1998;
907135040;112;10859;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;College Creek;Norm;Normal;1Fam;1Story;5;5;1994;1995
907135170;60;8072;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;1Story;5;5;1994;1995
907175100;80;10400;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;College Creek;Norm;Normal;1Fam;2Story;7;5;1998;
907180130;78;10335;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;1Story;7;5;1999;
907181100;68;9017;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;1Story;7;5;1999;
907185050;70;8750;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;2Story;6;5;1998;
907192030;68;8935;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;2Story;7;5;2002;
907192090;67;9808;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;1Story;7;5;2002;
907194010;79;12420;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;2Story;7;5;2001;
907194110;67;16285;Pave;NA;Moderately Irregular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;1Story;7;5;2001;2002
907194160;65;10739;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;1Story;7;5;2002;2001
907196060;75;11166;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;1Story;7;5;2001;
907200230;60;8430;Pave;NA;Regular;HLS;AllPub;Inside;Mod;College Creek;Norm;Normal;1Fam;1Story;5;5;1978;
907201220;;16269;Pave;NA;Slightly irregular;Lvl;AllPub;CulDSac;Gtl;College Creek;Norm;Normal;1Fam;1Story;5;5;1978;
907201280;76;6950;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;1Story;5;7;1979;
907202050;61;8800;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;1Story;5;7;1977;2008
907202080;;7000;Pave;NA;Slightly irregular;Lvl;AllPub;CulDSac;Gtl;College Creek;Norm;Normal;1Fam;1Story;5;8;1978;2005
907202130;;9286;Pave;NA;Slightly irregular;Lvl;AllPub;CulDSac;Mod;College Creek;Norm;Normal;1Fam;1Story;5;7;1977;1989
907227030;36;15523;Pave;NA;Slightly irregular;Lvl;AllPub;CulDSac;Gtl;College Creek;Norm;Normal;1Fam;1Story;5;6;1972;
907227080;60;7200;Pave;NA;Regular;Low;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;1Story;5;5;1972;
907227110;60;7200;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;SFoyer;5;8;1972;2003
907227290;70;8445;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;College Creek;Norm;Normal;1Fam;SFoyer;5;7;1972;2007
907250070;90;11664;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;College Creek;Norm;Normal;1Fam;1Story;7;5;2002;
907252060;;12334;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;2Story;8;5;2003;
907252210;;11838;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;1Story;8;5;2001;
907252220;;11885;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;2Story;8;5;2001;
907253130;;11050;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;College Creek;PosN;Normal;1Fam;2Story;9;5;2000;
907260030;70;8749;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;2Story;7;5;2002;
907265010;;11250;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;College Creek;Norm;Normal;1Fam;2Story;7;5;2001;
907275010;90;15750;Pave;NA;Regular;Lvl;AllPub;FR3;Gtl;College Creek;Adjacent to feeder street;Normal;1Fam;1Story;8;5;1999;2000
907275090;73;11883;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;1Story;7;5;1996;
907275140;;12782;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;1Story;8;5;2002;2003
907280170;70;8750;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;1Story;7;5;1997;1998
907285020;;9375;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;2Story;7;5;1997;1998
907285050;70;8750;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;2Story;7;5;1996;
907290070;70;9100;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;1Story;7;5;2001;
907290090;75;9750;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;1Story;7;5;2000;2001
907290180;;4435;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;TwnhsE;1Story;6;5;2003;2004
907290210;;4435;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;TwnhsE;1Story;6;5;2003;
907410130;85;10200;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;1Story;8;5;2007;
907412020;65;9313;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;College Creek;Norm;Normal;1Fam;2Story;7;5;2004;
907414020;63;8487;Pave;NA;Regular;Lvl;AllPub;FR2;Gtl;College Creek;Norm;Normal;1Fam;1Story;7;5;2004;
907414080;64;8633;Pave;NA;Regular;Lvl;AllPub;FR2;Gtl;College Creek;Norm;Normal;1Fam;2Story;6;5;2005;
907420040;85;11069;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;College Creek;Norm;Normal;1Fam;2Story;6;5;2007;
908102050;67;8777;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Edwards;Adjacent to feeder street;Normal;1Fam;1Story;4;5;1949;2003
908102270;75;9937;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;Edwards;Norm;Normal;1Fam;1Story;5;7;1964;1999
908102290;67;8877;Pave;NA;Regular;Lvl;AllPub;Inside;Mod;Edwards;Norm;Normal;1Fam;1Story;4;6;1938;1958
908128060;64;7301;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;Edwards;Norm;Normal;1Fam;SFoyer;7;5;2003;
908151050;75;7950;Pave;NA;Slightly irregular;Bnk;AllPub;Corner;Gtl;Edwards;Norm;Normal;1Fam;2Story;6;6;1977;
908152035;80;10682;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Edwards;Norm;Normal;1Fam;1Story;4;6;1960;1971
908152100;72;7200;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Edwards;Norm;Normal;1Fam;SLvl;6;6;1976;
908154040;86;13286;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Edwards;Norm;Normal;1Fam;1Story;9;5;2007;2008
908186080;35;3675;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Edwards;Norm;Normal;TwnhsE;SFoyer;6;5;2005;2006
908201040;50;9405;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Edwards;Norm;Normal;1Fam;1Story;5;9;1947;2008
908203090;64;6410;Pave;NA;Regular;HLS;AllPub;Inside;Mod;Edwards;Norm;Normal;1Fam;1Story;4;5;1959;
908225290;70;11767;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Edwards;Norm;Normal;1Fam;1Story;5;5;1950;
908225370;50;8405;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Edwards;Norm;Normal;1Fam;1.5Fin;4;3;1945;1950
908229020;56;4060;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;Edwards;Adjacent to feeder street;Normal;1Fam;1Story;5;8;1922;1950
908250030;74;10206;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;Edwards;Norm;Normal;1Fam;1Story;3;3;1952;
908275040;65;10926;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Edwards;Norm;Normal;Duplex;1Story;5;5;1959;
908275110;70;11767;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Edwards;Norm;Normal;1Fam;1Story;5;5;1956;
908276150;;8926;Pave;NA;Slightly irregular;Lvl;AllPub;Corner;Gtl;Edwards;Norm;Normal;1Fam;1Story;4;3;1956;
909101010;67;12354;Pave;Grvl;Regular;Lvl;AllPub;Corner;Gtl;Edwards;Norm;Normal;1Fam;1.5Fin;6;8;1920;2000
909101100;45;8212;Pave;Grvl;Regular;Lvl;AllPub;Inside;Gtl;Edwards;Norm;Normal;1Fam;1.5Fin;5;6;1941;1950
909101140;60;10998;Pave;Grvl;Regular;Lvl;AllPub;Inside;Gtl;Edwards;Norm;Normal;1Fam;1.5Fin;5;5;1941;1960
909129090;70;6300;Pave;Pave;Regular;Lvl;AllPub;Corner;Gtl;South & West of Iowa State University;Norm;Normal;1Fam;1.5Fin;5;4;1938;1950
909129100;55;4500;Pave;Pave;Moderately Irregular;Bnk;AllPub;Inside;Gtl;South & West of Iowa State University;Norm;Normal;1Fam;1.5Fin;5;5;1932;2000
909175080;60;8400;Pave;NA;Regular;Bnk;AllPub;Inside;Gtl;South & West of Iowa State University;Norm;Normal;1Fam;1Story;2;5;1920;1950
909178160;60;9900;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;South & West of Iowa State University;Norm;Normal;1Fam;1.5Fin;6;7;1940;1950
909179020;102;15863;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;South & West of Iowa State University;Norm;Normal;1Fam;2.5Fin;7;3;1920;1970
909250080;43;5707;Pave;NA;Regular;Bnk;AllPub;Inside;Gtl;South & West of Iowa State University;Adjacent to feeder street;Normal;1Fam;2Story;6;6;1935;1950
909250220;65;7804;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;South & West of Iowa State University;Norm;Normal;1Fam;1.5Fin;4;3;1928;1950
909251050;64;8574;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Crawford;Norm;Normal;1Fam;1Story;6;8;1916;2000
909251170;51;6171;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;South & West of Iowa State University;Norm;Normal;1Fam;1.5Fin;6;6;1925;1990
909252020;60;7200;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;South & West of Iowa State University;Adjacent to feeder street;Normal;1Fam;2Story;7;9;1936;2007
909253010;57;7558;Pave;NA;Regular;Bnk;AllPub;Inside;Gtl;Crawford;Norm;Normal;1Fam;1.5Fin;6;6;1928;1950
909253180;52;6292;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;South & West of Iowa State University;Norm;Normal;1Fam;1.5Fin;7;7;1928;1950
909254010;53;7155;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Crawford;Norm;Normal;1Fam;2Story;7;8;1918;1990
909257050;53;10918;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Crawford;Norm;Normal;1Fam;2Story;7;9;1926;2004
909275080;60;13680;Pave;NA;Regular;HLS;AllPub;Inside;Mod;Crawford;Norm;Normal;1Fam;1.5Fin;5;6;1940;1950
909276110;;7500;Pave;NA;Slightly irregular;Bnk;AllPub;Inside;Gtl;Crawford;Norm;Normal;1Fam;2Story;6;7;1942;1950
909276200;130;9600;Pave;NA;Slightly irregular;HLS;AllPub;Inside;Gtl;Crawford;Norm;Normal;1Fam;1.5Fin;5;7;1940;1950
909277090;80;14680;Pave;Grvl;Slightly irregular;HLS;AllPub;Inside;Gtl;Crawford;Norm;Normal;1Fam;1Story;5;4;1960;
909277100;80;13360;Pave;Grvl;Slightly irregular;HLS;AllPub;Inside;Gtl;Crawford;Norm;Normal;1Fam;1Story;5;7;1921;2006
909278020;54;7681;Pave;NA;Slightly irregular;Lvl;AllPub;FR2;Gtl;Crawford;Norm;Normal;1Fam;1.5Fin;5;6;1921;1950
909279010;;8145;Pave;NA;Slightly irregular;HLS;AllPub;Corner;Gtl;Crawford;Norm;Normal;Duplex;2.5Unf;7;6;1940;1950
909282130;70;9100;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Crawford;Adjacent to feeder street;Normal;1Fam;1Story;5;6;1954;
909425060;75;12000;Pave;NA;Regular;Bnk;AllPub;Inside;Gtl;Crawford;Norm;Normal;1Fam;2Story;7;7;1941;1950
909425130;90;13339;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Crawford;Norm;Normal;1Fam;1Story;6;6;1960;
909426090;78;15600;Pave;NA;Regular;Bnk;AllPub;Inside;Gtl;Crawford;Norm;Normal;1Fam;1.5Fin;5;7;1949;2005
909427200;80;14000;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Crawford;Norm;Normal;1Fam;1Story;6;8;1950;2004
909428240;100;17500;Pave;NA;Regular;Bnk;AllPub;Corner;Mod;Crawford;PosA;Normal;1Fam;1Story;6;5;1954;
909451040;24;1733;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Bluestem;Norm;Normal;Twnhs;2Story;6;6;1980;
909451100;24;1488;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Bluestem;Norm;Normal;TwnhsE;2Story;6;6;1980;1992
909451140;24;1612;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Bluestem;Norm;Normal;Twnhs;2Story;6;6;1980;
909451180;24;1300;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Bluestem;Norm;Normal;TwnhsE;2Story;6;6;1980;
909452050;;13607;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Crawford;Norm;Normal;1Fam;SLvl;6;6;1986;
909475040;;17597;Pave;NA;Regular;Bnk;AllPub;Inside;Gtl;Crawford;Norm;Normal;1Fam;1Story;7;9;1971;2009
909475300;;21695;Pave;NA;Slightly irregular;Lvl;AllPub;Corner;Gtl;Crawford;Norm;Normal;1Fam;1Story;6;9;1988;2007
910202070;59;10690;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Iowa DOT and Rail Road;Norm;Normal;1Fam;2Story;5;7;1920;1997
910204050;50;8660;Pave;NA;Regular;Bnk;AllPub;Inside;Gtl;Iowa DOT and Rail Road;Norm;Normal;1Fam;2Story;5;6;1900;1993
910205020;60;6402;Pave;NA;Regular;Lvl;AllPub;Corner;Gtl;Iowa DOT and Rail Road;Norm;Normal;1Fam;2Story;5;5;1920;1950
911103050;105;8470;Pave;NA;Slightly irregular;Lvl;AllPub;Corner;Gtl;Iowa DOT and Rail Road;Adjacent to feeder street;Feedr;1Fam;1.5Fin;3;2;1915;1982
911104060;60;10200;Pave;Grvl;Regular;Lvl;AllPub;Inside;Gtl;Iowa DOT and Rail Road;Norm;Normal;1Fam;1Story;4;6;1925;1950
911370500;44;3843;Pave;NA;Slightly irregular;HLS;AllPub;Inside;Mod;Crawford;Norm;Normal;TwnhsE;1Story;8;5;2007;2008
912251110;109;21780;Grvl;NA;Regular;Lvl;NoSewr;Inside;Gtl;Iowa DOT and Rail Road;Norm;Normal;1Fam;1Story;2;4;1910;1950
914465020;75;10125;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Mitchell;Norm;Normal;1Fam;2Story;8;5;2000;2001
914465040;48;12822;Pave;NA;Slightly irregular;Lvl;AllPub;CulDSac;Gtl;Mitchell;Norm;Normal;1Fam;1.5Fin;7;5;2003;
914465055;43;12118;Pave;NA;Slightly irregular;Lvl;AllPub;CulDSac;Gtl;Mitchell;Norm;Normal;1Fam;1Story;7;5;2004;2005
914474070;71;12209;Pave;NA;Slightly irregular;Lvl;AllPub;CulDSac;Gtl;Mitchell;Norm;Normal;1Fam;2Story;6;5;2001;2002
914475010;75;9750;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Mitchell;Norm;Normal;1Fam;SFoyer;6;6;1977;
914475030;72;9360;Pave;NA;Regular;Bnk;AllPub;Inside;Gtl;Mitchell;Norm;Normal;1Fam;SFoyer;6;7;1977;
914476020;75;10125;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Mitchell;Norm;Normal;Duplex;1.5Fin;5;5;1977;
914476380;;9947;Pave;NA;Slightly irregular;Lvl;AllPub;CulDSac;Gtl;Mitchell;Norm;Normal;1Fam;SLvl;7;5;1990;1991
914476430;82;11070;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Mitchell;Norm;Normal;1Fam;1Story;5;5;1991;
916176030;;14375;Pave;NA;Slightly irregular;Lvl;NoSeWa;CulDSac;Gtl;Timberland;Norm;Normal;1Fam;SLvl;6;6;1958;
916176125;150;215245;Pave;NA;Irregular;Low;AllPub;Inside;Sev;Timberland;Norm;Normal;1Fam;1Story;7;5;1965;
916380070;89;12898;Pave;NA;Slightly irregular;HLS;AllPub;Inside;Gtl;Timberland;Norm;Normal;1Fam;1Story;9;5;2007;2008
916382010;83;13159;Pave;NA;Slightly irregular;HLS;AllPub;Corner;Gtl;Timberland;Norm;Normal;1Fam;2Story;7;5;2009;
916382100;113;13438;Pave;NA;Slightly irregular;HLS;AllPub;Corner;Gtl;Timberland;Norm;Normal;1Fam;1Story;9;5;2008;
916382110;79;14463;Pave;NA;Slightly irregular;HLS;AllPub;Corner;Gtl;Timberland;Norm;Normal;1Fam;1Story;9;5;2008;
916386140;73;8925;Pave;NA;Slightly irregular;HLS;AllPub;Inside;Gtl;Timberland;Norm;Normal;1Fam;1Story;8;5;2007;
916403010;130;11457;Pave;NA;Slightly irregular;Lvl;AllPub;Corner;Gtl;Timberland;Norm;Normal;1Fam;1Story;6;5;1988;
916403200;;9839;Pave;NA;Slightly irregular;Lvl;AllPub;CulDSac;Gtl;Timberland;Norm;Normal;1Fam;2Story;6;8;1980;2006
916403250;125;14419;Pave;NA;Slightly irregular;Lvl;AllPub;Corner;Gtl;Timberland;Norm;Normal;1Fam;SLvl;7;5;1987;1989
916455070;;6853;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Timberland;Norm;Normal;1Fam;1Story;8;5;2001;2002
916460110;75;9157;Pave;NA;Slightly irregular;Lvl;AllPub;Corner;Gtl;Timberland;Norm;Normal;1Fam;2Story;7;5;2003;
916475040;85;14601;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Timberland;Norm;Normal;1Fam;1Story;9;5;2006;
921128050;85;12633;Pave;NA;Slightly irregular;HLS;AllPub;Inside;Gtl;Timberland;Norm;Normal;1Fam;1Story;9;5;2007;
923201100;75;12518;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Mitchell;Norm;Normal;1Fam;1Story;5;7;1968;
923202060;100;21750;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Mitchell;Norm;Normal;1Fam;1Story;5;4;1960;2006
923203110;32;4500;Pave;NA;Regular;Lvl;AllPub;FR2;Gtl;Mitchell;Norm;Normal;TwnhsE;1Story;6;5;1998;
923203190;;4500;Pave;NA;Regular;Lvl;AllPub;FR2;Gtl;Mitchell;Norm;Normal;TwnhsE;1Story;6;5;1999;
923225360;21;1596;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Meadow Village;Norm;Normal;Twnhs;SLvl;4;5;1973;
923225490;62;9858;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Mitchell;Norm;Normal;1Fam;1Story;5;6;1968;
923226270;21;1526;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Meadow Village;Norm;Normal;Twnhs;SFoyer;4;8;1970;2002
923227080;83;13383;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Mod;Mitchell;Norm;Normal;1Fam;1Story;5;5;1969;2000
923228110;21;1477;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Meadow Village;Norm;Normal;TwnhsE;SFoyer;4;4;1970;
923228150;21;1533;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Meadow Village;Norm;Normal;Twnhs;2Story;4;6;1970;2008
923228230;21;2217;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Meadow Village;Norm;Normal;TwnhsE;2Story;4;4;1970;
923230200;50;7689;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Mitchell;Norm;Normal;1Fam;SFoyer;5;8;1972;
923252075;62;7706;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Mitchell;Norm;Normal;1Fam;SLvl;6;5;1993;1996
923275040;;9101;Pave;NA;Slightly irregular;Lvl;AllPub;Corner;Gtl;Mitchell;Norm;Normal;1Fam;SFoyer;5;6;1978;
923275140;;8780;Pave;NA;Slightly irregular;Lvl;AllPub;Corner;Gtl;Mitchell;Norm;Normal;1Fam;1Story;5;5;1985;
923276260;70;7669;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Mitchell;Norm;Normal;1Fam;SFoyer;5;6;1992;1993
923400025;85;14115;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Mitchell;Norm;Normal;1Fam;1.5Fin;5;5;1993;1995
923400110;62;10429;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Mitchell;Norm;Normal;1Fam;2Story;5;5;1992;
924100040;;9819;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Mod;Mitchell;Norm;Normal;1Fam;1Story;6;5;1977;
924100060;70;10457;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Mod;Mitchell;Norm;Normal;1Fam;2Story;5;7;1969;
526351030;87;11029;Pave;NA;Slightly irregular;Lvl;AllPub;Corner;Gtl;North Ames;Norm;Normal;1Fam;1Story;6;8;1958;2002
526353050;;12925;Pave;NA;Slightly irregular;Lvl;AllPub;Corner;Gtl;North Ames;Norm;Normal;1Fam;1Story;6;7;1970;
526354070;85;11075;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;North Ames;Norm;Normal;1Fam;2Story;6;5;1969;
527105050;72;8702;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Gilbert;Norm;Normal;1Fam;2Story;6;5;1997;1998
527106050;65;8139;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Gilbert;Norm;Normal;1Fam;2Story;6;5;1995;1996
527106140;59;9535;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Gilbert;Norm;Normal;1Fam;2Story;6;5;1998;
527106150;59;9042;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Gilbert;Norm;Normal;1Fam;2Story;6;5;1998;
527107010;;15038;Pave;NA;Moderately Irregular;Lvl;AllPub;Corner;Gtl;Gilbert;Norm;Normal;1Fam;2Story;6;5;1996;
527107090;53;14137;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Gilbert;Norm;Normal;1Fam;1Story;5;5;1996;1997
527107210;57;21872;Pave;NA;Moderately Irregular;HLS;AllPub;FR2;Gtl;Gilbert;Norm;Normal;1Fam;2Story;7;5;1996;1997
527127140;41;4923;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Stone Brook;Norm;Normal;TwnhsE;1Story;8;5;2001;2002
527131110;45;6264;Pave;NA;Slightly irregular;Lvl;AllPub;Corner;Gtl;Stone Brook;Norm;Normal;1Fam;1Story;8;5;1997;
527140090;41;5395;Pave;NA;Slightly irregular;HLS;AllPub;Inside;Gtl;Stone Brook;Norm;Normal;TwnhsE;1Story;8;5;1993;
527145090;39;5070;Pave;NA;Slightly irregular;HLS;AllPub;Inside;Gtl;Stone Brook;Norm;Normal;TwnhsE;1Story;8;5;1992;
527161010;100;10839;Pave;NA;Slightly irregular;Lvl;AllPub;Corner;Gtl;Gilbert;Norm;Normal;1Fam;2Story;6;5;1997;1998
527162180;73;11184;Pave;NA;Slightly irregular;Lvl;AllPub;Corner;Gtl;Gilbert;Norm;Normal;1Fam;2Story;6;5;1998;
527163100;;8000;Pave;NA;Regular;Lvl;AllPub;Inside;Gtl;Gilbert;Norm;Normal;1Fam;2Story;6;5;1995;1996
527164120;;10832;Pave;NA;Slightly irregular;Lvl;AllPub;Corner;Gtl;Gilbert;Norm;Normal;1Fam;2Story;7;5;1994;1996
527165010;;14067;Pave;NA;Regular;Lvl;AllPub;FR3;Gtl;Gilbert;Norm;Normal;1Fam;2Story;6;5;1991;
527183030;40;4671;Pave;NA;Slightly irregular;HLS;AllPub;Inside;Gtl;Stone Brook;Norm;Normal;TwnhsE;1Story;8;5;1988;1989
527183060;65;5950;Pave;NA;Slightly irregular;HLS;AllPub;Inside;Mod;Stone Brook;Norm;Normal;TwnhsE;1Story;8;5;1989;
527208010;101;13543;Pave;NA;Slightly irregular;HLS;AllPub;Corner;Gtl;Stone Brook;Norm;Normal;1Fam;2Story;8;5;2005;
527212050;77;11198;Pave;NA;Slightly irregular;Lvl;AllPub;Inside;Gtl;Stone Brook;Norm;Normal;1Fam;2Story;9;5;2005;2007
